iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
BGD,Asia,Bangladesh,3/4/2020,0,0,0,0,,,,,108,,0.001,,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8
BGD,Asia,Bangladesh,3/5/2020,0,0,0,0,,,,,111,3,0.001,0,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8
BGD,Asia,Bangladesh,3/6/2020,0,0,0,0,,,,,,,,,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8
BGD,Asia,Bangladesh,3/7/2020,0,0,0,0,,,,,120,,0.001,,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8
BGD,Asia,Bangladesh,3/8/2020,0,0,0,0,,,,,127,7,0.001,0,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8
BGD,Asia,Bangladesh,3/9/2020,3,3,0,0,0.018,0.018,0,0,137,10,0.001,0,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8
BGD,Asia,Bangladesh,3/10/2020,0,0,0,0,,,,,147,10,0.001,0,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8
BGD,Asia,Bangladesh,3/11/2020,0,0,0,0,,,,,163,16,0.001,0,8,0,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8
BGD,Asia,Bangladesh,3/12/2020,0,0,0,0,,,,,187,24,0.001,0,11,0,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8
BGD,Asia,Bangladesh,3/13/2020,0,0,0,0,,,,,211,24,0.001,0,14,0,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8
BGD,Asia,Bangladesh,3/14/2020,0,0,0,0,,,,,241,30,0.001,0,17,0,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8
BGD,Asia,Bangladesh,3/15/2020,3,0,0,0,0.018,0,0,0,268,27,0.002,0,20,0,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8
BGD,Asia,Bangladesh,3/16/2020,0,0,0,0,,,,,293,25,0.002,0,22,0,samples tested,33.33,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8
