iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
BMU,North America,Bermuda,3/20/2020,2,2,0,0,32.117,32.117,0,0,,,,,,,,48.15,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,3/21/2020,2,0,0,0,32.117,0,0,0,,,,,,,,48.15,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,3/22/2020,2,0,0,0,32.117,0,0,0,,,,,,,,48.15,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,3/23/2020,6,4,0,0,96.35,64.233,0,0,,,,,,,,48.15,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,3/24/2020,6,0,0,0,96.35,0,0,0,,,,,,,,48.15,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,3/25/2020,6,0,0,0,96.35,0,0,0,,,,,,,,48.15,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,3/26/2020,6,0,0,0,96.35,0,0,0,,,,,,,,51.85,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,3/27/2020,15,9,0,0,240.875,144.525,0,0,,,,,,,,51.85,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,3/28/2020,17,2,0,0,272.992,32.117,0,0,,,,,,,,51.85,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,3/29/2020,22,5,0,0,353.283,80.292,0,0,,,,,,,,51.85,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,3/30/2020,22,0,0,0,353.283,0,0,0,,,,,,,,51.85,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,3/31/2020,27,5,0,0,433.575,80.292,0,0,,,,,,,,51.85,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,4/1/2020,32,5,0,0,513.866,80.292,0,0,,,,,,,,51.85,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,4/2/2020,32,0,0,0,513.866,0,0,0,,,,,,,,51.85,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,4/3/2020,35,3,0,0,562.041,48.175,0,0,,,,,,,,51.85,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,4/4/2020,35,0,0,0,562.041,0,0,0,,,,,,,,96.3,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,4/5/2020,37,2,0,0,594.158,32.117,0,0,,,,,,,,96.3,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,4/6/2020,37,0,0,0,594.158,0,0,0,,,,,,,,96.3,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,4/7/2020,39,2,2,2,626.275,32.117,32.117,32.117,,,,,,,,96.3,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,4/8/2020,39,0,2,0,626.275,0,32.117,0,,,,,,,,96.3,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,4/9/2020,39,0,3,1,626.275,0,48.175,16.058,,,,,,,,96.3,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,4/10/2020,48,9,4,1,770.8,144.525,64.233,16.058,,,,,,,,96.3,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BMU,North America,Bermuda,4/11/2020,48,0,4,0,770.8,0,64.233,0,,,,,,,,96.3,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
